user_id,post_id,Article,Author,Categories,Views
168,2468,"MFIs to Restructure Tourism, Real Estate Loans",Amarthalingam Sangeetha,160,Finance & Banking
168,2523,Cambodian Banks ‘Not Laughing All The Way’ as Profits Drop,Amarthalingam Sangeetha,2484,Finance & Banking
168,2532,AI Revolutionizing the Cambodia’s Banking and Finance Sector,staff writers Kiripost,4,Finance & Banking
169,1024,Automotive and Electronics Sectors to Receive $2b Cash Boost,Molika Meas,344,Tech
169,1040,Digitizing Cambodia’s Health Sector,staff writers Kiripost,401,Tech
